subAU,year,value,ens,scen,rcp
rus1_sz2,2061,1.0732816090226533,ens1,Pol,2p6
rus1_sz3,2061,1.4477062509006846,ens1,Pol,2p6
rus1_sz4,2061,1.4477062509006846,ens1,Pol,2p6
rus1_sz5,2061,0.6606304759266777,ens1,Pol,2p6
rus1_sz2,2062,1.008552576851568,ens1,Pol,2p6
rus1_sz3,2062,1.360395871498801,ens1,Pol,2p6
rus1_sz4,2062,1.360395871498801,ens1,Pol,2p6
rus1_sz5,2062,0.6207882099547516,ens1,Pol,2p6
rus1_sz2,2063,0.9438235446804826,ens1,Pol,2p6
rus1_sz3,2063,1.2730854920969177,ens1,Pol,2p6
rus1_sz4,2063,1.2730854920969177,ens1,Pol,2p6
rus1_sz5,2063,0.5809459439828255,ens1,Pol,2p6
rus1_sz2,2064,0.879094512509397,ens1,Pol,2p6
rus1_sz3,2064,1.1857751126950338,ens1,Pol,2p6
rus1_sz4,2064,1.1857751126950338,ens1,Pol,2p6
rus1_sz5,2064,0.5411036780108992,ens1,Pol,2p6
rus1_sz2,2065,0.8143654803383116,ens1,Pol,2p6
rus1_sz3,2065,1.0984647332931503,ens1,Pol,2p6
rus1_sz4,2065,1.0984647332931503,ens1,Pol,2p6
rus1_sz5,2065,0.5012614120389731,ens1,Pol,2p6
rus1_sz2,2066,0.7627097776801809,ens1,Pol,2p6
rus1_sz3,2066,1.0287884405064502,ens1,Pol,2p6
rus1_sz4,2066,1.0287884405064502,ens1,Pol,2p6
rus1_sz5,2066,0.4694660927635009,ens1,Pol,2p6
rus1_sz2,2067,0.7110540750220503,ens1,Pol,2p6
rus1_sz3,2067,0.9591121477197504,ens1,Pol,2p6
rus1_sz4,2067,0.9591121477197504,ens1,Pol,2p6
rus1_sz5,2067,0.4376707734880287,ens1,Pol,2p6
rus1_sz2,2068,0.6593983723639196,ens1,Pol,2p6
rus1_sz3,2068,0.8894358549330504,ens1,Pol,2p6
rus1_sz4,2068,0.8894358549330504,ens1,Pol,2p6
rus1_sz5,2068,0.40587545421255644,ens1,Pol,2p6
rus1_sz2,2069,0.607742669705789,ens1,Pol,2p6
rus1_sz3,2069,0.8197595621463506,ens1,Pol,2p6
rus1_sz4,2069,0.8197595621463506,ens1,Pol,2p6
rus1_sz5,2069,0.3740801349370843,ens1,Pol,2p6
rus1_sz2,2070,0.5560869670476585,ens1,Pol,2p6
rus1_sz3,2070,0.7500832693596506,ens1,Pol,2p6
rus1_sz4,2070,0.7500832693596506,ens1,Pol,2p6
rus1_sz5,2070,0.3422848156616121,ens1,Pol,2p6
rus1_sz2,2071,0.520129111848483,ens1,Pol,2p6
rus1_sz3,2071,0.7015811695349538,ens1,Pol,2p6
rus1_sz4,2071,0.7015811695349538,ens1,Pol,2p6
rus1_sz5,2071,0.3201518965900132,ens1,Pol,2p6
rus1_sz2,2072,0.4841712566493075,ens1,Pol,2p6
rus1_sz3,2072,0.6530790697102569,ens1,Pol,2p6
rus1_sz4,2072,0.6530790697102569,ens1,Pol,2p6
rus1_sz5,2072,0.2980189775184143,ens1,Pol,2p6
rus1_sz2,2073,0.448213401450132,ens1,Pol,2p6
rus1_sz3,2073,0.60457696988556,ens1,Pol,2p6
rus1_sz4,2073,0.60457696988556,ens1,Pol,2p6
rus1_sz5,2073,0.27588605844681535,ens1,Pol,2p6
rus1_sz2,2074,0.41225554625095656,ens1,Pol,2p6
rus1_sz3,2074,0.5560748700608631,ens1,Pol,2p6
rus1_sz4,2074,0.5560748700608631,ens1,Pol,2p6
rus1_sz5,2074,0.25375313937521643,ens1,Pol,2p6
rus1_sz2,2075,0.3762976910517811,ens1,Pol,2p6
rus1_sz3,2075,0.5075727702361663,ens1,Pol,2p6
rus1_sz4,2075,0.5075727702361663,ens1,Pol,2p6
