year,ens,rcp,ship_type,num_months
2023,ens13,8p5,1A,2
2023,ens13,8p5,1AS,5
2023,ens2,2p6,1A,2
2023,ens2,2p6,1AS,2
2023,ens2,8p5,1A,4
2023,ens2,8p5,1AS,4
2023,ens3,2p6,1A,1
2023,ens3,2p6,1AS,2
2023,ens3,8p5,1A,3
2023,ens3,8p5,1AS,4
2023,ens4,2p6,1A,4
2023,ens4,2p6,1AS,5
2023,ens4,8p5,1A,2
2023,ens4,8p5,1AS,3
2023,ens5,2p6,1A,3
2023,ens5,2p6,1AS,3
2023,ens5,8p5,1A,2
2023,ens5,8p5,1AS,3
2023,ens6,2p6,1A,2
2023,ens6,2p6,1AS,4
2023,ens6,8p5,1A,3
2023,ens6,8p5,1AS,3
2023,ens7,2p6,1A,4
2023,ens7,2p6,1AS,5
2023,ens7,8p5,1A,3
2023,ens7,8p5,1AS,3
2023,ens8,2p6,1A,4
2023,ens8,2p6,1AS,4
2023,ens8,8p5,1A,3
2023,ens8,8p5,1AS,4
2023,ens9,2p6,1A,2
2023,ens9,2p6,1AS,4
2023,ens9,8p5,1A,3
2023,ens9,8p5,1AS,3
2024,ens1,2p6,1A,3
2024,ens1,2p6,1AS,3
2024,ens1,8p5,1A,3
2024,ens1,8p5,1AS,6
2024,ens10,2p6,1A,4
2024,ens10,2p6,1AS,5
2024,ens10,8p5,1A,4
2024,ens10,8p5,1AS,5
2024,ens11,2p6,1A,4
2024,ens11,2p6,1AS,6
2024,ens11,8p5,1A,4
2024,ens11,8p5,1AS,5
2024,ens12,2p6,1A,4
2024,ens12,2p6,1AS,5
2024,ens12,8p5,1A,4
2024,ens12,8p5,1AS,4
2024,ens13,2p6,1A,2
2024,ens13,2p6,1AS,3
2024,ens13,8p5,1A,4
2024,ens13,8p5,1AS,4
2024,ens2,2p6,1A,2
2024,ens2,2p6,1AS,2
2024,ens2,8p5,1A,4
2024,ens2,8p5,1AS,4
2024,ens3,2p6,1A,2
2024,ens3,2p6,1AS,2
2024,ens3,8p5,1A,3
2024,ens3,8p5,1AS,3
2024,ens4,2p6,1A,4
2024,ens4,2p6,1AS,7
2024,ens4,8p5,1A,2
2024,ens4,8p5,1AS,3
2024,ens5,2p6,1A,3
2024,ens5,2p6,1AS,3
2024,ens5,8p5,1A,3
2024,ens5,8p5,1AS,4
2024,ens6,2p6,1A,3
2024,ens6,2p6,1AS,4
2024,ens6,8p5,1A,2
2024,ens6,8p5,1AS,2
2024,ens7,2p6,1A,4
2024,ens7,2p6,1AS,4
2024,ens7,8p5,1A,3
2024,ens7,8p5,1AS,3
2024,ens8,2p6,1A,3
2024,ens8,2p6,1AS,4
2024,ens8,8p5,1A,3
2024,ens8,8p5,1AS,3
2024,ens9,2p6,1A,4
2024,ens9,2p6,1AS,5
2024,ens9,8p5,1A,3
2024,ens9,8p5,1AS,3
2025,ens1,2p6,1A,5
2025,ens1,2p6,1AS,9
2025,ens1,8p5,1A,5
2025,ens1,8p5,1AS,5
2025,ens10,2p6,1A,4
2025,ens10,2p6,1AS,5
2025,ens10,8p5,1A,4
2025,ens10,8p5,1AS,5
2025,ens11,2p6,1A,4
2025,ens11,2p6,1AS,7
2025,ens11,8p5,1A,4
2025,ens11,8p5,1AS,6
2025,ens12,2p6,1A,4
2025,ens12,2p6,1AS,5
2025,ens12,8p5,1A,4
2025,ens12,8p5,1AS,4
2025,ens13,2p6,1A,2
2025,ens13,2p6,1AS,2
2025,ens13,8p5,1A,4
2025,ens13,8p5,1AS,5
2025,ens2,2p6,1A,2
2025,ens2,2p6,1AS,2
2025,ens2,8p5,1A,3
2025,ens2,8p5,1AS,4
2025,ens3,2p6,1A,5
2025,ens3,2p6,1AS,5
2025,ens3,8p5,1A,2
2025,ens3,8p5,1AS,2
2025,ens4,2p6,1A,5
2025,ens4,2p6,1AS,5
2025,ens4,8p5,1A,3
2025,ens4,8p5,1AS,4
2025,ens5,2p6,1A,2
2025,ens5,2p6,1AS,2
2025,ens5,8p5,1A,3
2025,ens5,8p5,1AS,3
2025,ens6,2p6,1A,2
2025,ens6,2p6,1AS,2
2025,ens6,8p5,1A,2
2025,ens6,8p5,1AS,2
2025,ens7,2p6,1A,2
2025,ens7,2p6,1AS,3
2025,ens7,8p5,1A,3
2025,ens7,8p5,1AS,3
2025,ens8,2p6,1A,4
2025,ens8,2p6,1AS,6
2025,ens8,8p5,1A,5
2025,ens8,8p5,1AS,5
2025,ens9,2p6,1A,4
2025,ens9,2p6,1AS,5
2025,ens9,8p5,1A,4
2025,ens9,8p5,1AS,4
2026,ens1,2p6,1A,5
2026,ens1,2p6,1AS,7
2026,ens1,8p5,1A,5
2026,ens1,8p5,1AS,6
2026,ens10,2p6,1A,4
2026,ens10,2p6,1AS,5
2026,ens10,8p5,1A,4
2026,ens10,8p5,1AS,5
2026,ens11,2p6,1A,4
2026,ens11,2p6,1AS,7
2026,ens11,8p5,1A,4
2026,ens11,8p5,1AS,5
2026,ens12,2p6,1A,4
2026,ens12,2p6,1AS,5
2026,ens12,8p5,1A,4
2026,ens12,8p5,1AS,4
2026,ens13,2p6,1A,2
2026,ens13,2p6,1AS,2
2026,ens13,8p5,1A,2
2026,ens13,8p5,1AS,2
2026,ens2,2p6,1A,2
2026,ens2,2p6,1AS,2
2026,ens2,8p5,1A,4
2026,ens2,8p5,1AS,4
2026,ens3,2p6,1A,4
2026,ens3,2p6,1AS,4
2026,ens3,8p5,1A,3
2026,ens3,8p5,1AS,4
2026,ens4,2p6,1A,3
2026,ens4,2p6,1AS,6
2026,ens4,8p5,1A,4
2026,ens4,8p5,1AS,4
2026,ens5,2p6,1A,3
2026,ens5,2p6,1AS,3
2026,ens5,8p5,1A,4
2026,ens5,8p5,1AS,5
2026,ens6,2p6,1A,2
2026,ens6,2p6,1AS,2
2026,ens6,8p5,1A,2
2026,ens6,8p5,1AS,2
2026,ens7,2p6,1A,2
2026,ens7,2p6,1AS,2
2026,ens7,8p5,1A,3
2026,ens7,8p5,1AS,3
2026,ens8,2p6,1A,4
2026,ens8,2p6,1AS,5
2026,ens8,8p5,1A,5
2026,ens8,8p5,1AS,6
2026,ens9,2p6,1A,4
2026,ens9,2p6,1AS,5
2026,ens9,8p5,1A,4
2026,ens9,8p5,1AS,5
2027,ens1,2p6,1A,6
2027,ens1,2p6,1AS,7
2027,ens1,8p5,1A,5
2027,ens1,8p5,1AS,6
2027,ens10,2p6,1A,4
2027,ens10,2p6,1AS,5
2027,ens10,8p5,1A,4
2027,ens10,8p5,1AS,6
2027,ens11,2p6,1A,4
2027,ens11,2p6,1AS,7
2027,ens11,8p5,1A,4
2027,ens11,8p5,1AS,6
2027,ens12,2p6,1A,4
2027,ens12,2p6,1AS,5
2027,ens12,8p5,1A,3
2027,ens12,8p5,1AS,4
2027,ens13,2p6,1A,2
2027,ens13,2p6,1AS,2
2027,ens13,8p5,1A,2
2027,ens13,8p5,1AS,2
2027,ens2,2p6,1A,2
2027,ens2,2p6,1AS,2
2027,ens2,8p5,1A,3
2027,ens2,8p5,1AS,4
2027,ens3,2p6,1A,5
2027,ens3,2p6,1AS,6
2027,ens3,8p5,1A,4
2027,ens3,8p5,1AS,5
2027,ens4,2p6,1A,3
2027,ens4,2p6,1AS,4
2027,ens4,8p5,1A,4
2027,ens4,8p5,1AS,5
2027,ens5,2p6,1A,5
2027,ens5,2p6,1AS,5
2027,ens5,8p5,1A,3
2027,ens5,8p5,1AS,5
2027,ens6,2p6,1A,4
2027,ens6,2p6,1AS,5
2027,ens6,8p5,1A,2
2027,ens6,8p5,1AS,3
2027,ens7,2p6,1A,3
2027,ens7,2p6,1AS,3
2027,ens7,8p5,1A,3
2027,ens7,8p5,1AS,3
2027,ens8,2p6,1A,4
2027,ens8,2p6,1AS,5
2027,ens8,8p5,1A,5
2027,ens8,8p5,1AS,6
2027,ens9,2p6,1A,4
2027,ens9,2p6,1AS,6
2027,ens9,8p5,1A,4
2027,ens9,8p5,1AS,5
2028,ens1,2p6,1A,5
2028,ens1,2p6,1AS,6
2028,ens1,8p5,1A,6
2028,ens1,8p5,1AS,8
2028,ens10,2p6,1A,4
2028,ens10,2p6,1AS,5
2028,ens10,8p5,1A,5
2028,ens10,8p5,1AS,6
2028,ens11,2p6,1A,4
2028,ens11,2p6,1AS,5
2028,ens11,8p5,1A,5
2028,ens11,8p5,1AS,6
2028,ens12,2p6,1A,5
2028,ens12,2p6,1AS,5
2028,ens12,8p5,1A,3
2028,ens12,8p5,1AS,4
2028,ens13,2p6,1A,2
2028,ens13,2p6,1AS,2
2028,ens13,8p5,1A,2
2028,ens13,8p5,1AS,3
2028,ens2,2p6,1A,3
2028,ens2,2p6,1AS,3
2028,ens2,8p5,1A,3
2028,ens2,8p5,1AS,3
2028,ens3,2p6,1A,3
2028,ens3,2p6,1AS,6
2028,ens3,8p5,1A,3
2028,ens3,8p5,1AS,5
2028,ens4,2p6,1A,4
2028,ens4,2p6,1AS,4
2028,ens4,8p5,1A,4
2028,ens4,8p5,1AS,5
2028,ens5,2p6,1A,2
2028,ens5,2p6,1AS,6
2028,ens5,8p5,1A,3
2028,ens5,8p5,1AS,5
2028,ens6,2p6,1A,3
2028,ens6,2p6,1AS,4
2028,ens6,8p5,1A,2
2028,ens6,8p5,1AS,3
2028,ens7,2p6,1A,2
2028,ens7,2p6,1AS,3
2028,ens7,8p5,1A,3
2028,ens7,8p5,1AS,3
2028,ens8,2p6,1A,2
2028,ens8,2p6,1AS,3
2028,ens8,8p5,1A,4
2028,ens8,8p5,1AS,6
2028,ens9,2p6,1A,3
2028,ens9,2p6,1AS,4
2028,ens9,8p5,1A,5
2028,ens9,8p5,1AS,6
2029,ens1,2p6,1A,4
2029,ens1,2p6,1AS,5
2029,ens1,8p5,1A,5
2029,ens1,8p5,1AS,7
2029,ens10,2p6,1A,4
2029,ens10,2p6,1AS,5
2029,ens10,8p5,1A,5
2029,ens10,8p5,1AS,7
2029,ens11,2p6,1A,4
2029,ens11,2p6,1AS,6
2029,ens11,8p5,1A,5
2029,ens11,8p5,1AS,7
2029,ens12,2p6,1A,5
2029,ens12,2p6,1AS,5
2029,ens12,8p5,1A,4
2029,ens12,8p5,1AS,5
2029,ens13,2p6,1A,2
2029,ens13,2p6,1AS,2
2029,ens13,8p5,1A,3
2029,ens13,8p5,1AS,3
2029,ens2,2p6,1A,3
2029,ens2,2p6,1AS,3
2029,ens2,8p5,1A,4
2029,ens2,8p5,1AS,4
2029,ens3,2p6,1A,4
2029,ens3,2p6,1AS,4
2029,ens3,8p5,1A,4
2029,ens3,8p5,1AS,5
2029,ens4,2p6,1A,4
2029,ens4,2p6,1AS,7
2029,ens4,8p5,1A,5
2029,ens4,8p5,1AS,7
2029,ens5,2p6,1A,5
2029,ens5,2p6,1AS,6
2029,ens5,8p5,1A,3
2029,ens5,8p5,1AS,5
2029,ens6,2p6,1A,4
2029,ens6,2p6,1AS,4
2029,ens6,8p5,1A,3
2029,ens6,8p5,1AS,4
2029,ens7,2p6,1A,3
2029,ens7,2p6,1AS,3
2029,ens7,8p5,1A,3
2029,ens7,8p5,1AS,4
2029,ens8,2p6,1A,2
2029,ens8,2p6,1AS,3
2029,ens8,8p5,1A,5
2029,ens8,8p5,1AS,5
2029,ens9,2p6,1A,4
2029,ens9,2p6,1AS,5
2029,ens9,8p5,1A,5
2029,ens9,8p5,1AS,6
2030,ens1,2p6,1A,4
2030,ens1,2p6,1AS,5
2030,ens1,8p5,1A,5
2030,ens1,8p5,1AS,7
2030,ens10,2p6,1A,4
2030,ens10,2p6,1AS,5
2030,ens10,8p5,1A,5
2030,ens10,8p5,1AS,6
2030,ens11,2p6,1A,4
2030,ens11,2p6,1AS,6
2030,ens11,8p5,1A,4
2030,ens11,8p5,1AS,6
2030,ens12,2p6,1A,4
2030,ens12,2p6,1AS,5
2030,ens12,8p5,1A,4
2030,ens12,8p5,1AS,4
2030,ens13,2p6,1A,2
2030,ens13,2p6,1AS,2
2030,ens13,8p5,1A,3
2030,ens13,8p5,1AS,3
2030,ens2,2p6,1A,3
2030,ens2,2p6,1AS,4
2030,ens2,8p5,1A,4
2030,ens2,8p5,1AS,5
2030,ens3,2p6,1A,4
2030,ens3,2p6,1AS,7
2030,ens3,8p5,1A,4
2030,ens3,8p5,1AS,5
2030,ens4,2p6,1A,3
2030,ens4,2p6,1AS,6
2030,ens4,8p5,1A,5
2030,ens4,8p5,1AS,7
2030,ens5,2p6,1A,6
2030,ens5,2p6,1AS,10
2030,ens5,8p5,1A,4
2030,ens5,8p5,1AS,4
2030,ens6,2p6,1A,4
2030,ens6,2p6,1AS,5
2030,ens6,8p5,1A,2
2030,ens6,8p5,1AS,5
2030,ens7,2p6,1A,2
2030,ens7,2p6,1AS,4
2030,ens7,8p5,1A,3
2030,ens7,8p5,1AS,4
2030,ens8,2p6,1A,4
2030,ens8,2p6,1AS,5
2030,ens8,8p5,1A,5
2030,ens8,8p5,1AS,7
2030,ens9,2p6,1A,1
2030,ens9,2p6,1AS,3
2030,ens9,8p5,1A,3
2030,ens9,8p5,1AS,4
2031,ens1,2p6,1A,4
2031,ens1,2p6,1AS,6
2031,ens1,8p5,1A,5
2031,ens1,8p5,1AS,7
2031,ens10,2p6,1A,3
2031,ens10,2p6,1AS,4
2031,ens10,8p5,1A,4
2031,ens10,8p5,1AS,7
2031,ens11,2p6,1A,4
2031,ens11,2p6,1AS,7
2031,ens11,8p5,1A,4
2031,ens11,8p5,1AS,7
