subAU,year,value,ens,scen,rcp
rus1_sz3,2024,1.81597123002564,ens13,Pol,2p6
rus1_sz4,2024,1.81597123002564,ens13,Pol,2p6
rus1_sz5,2024,0.8286804986955145,ens13,Pol,2p6
rus1_sz2,2020,1.3463094061770333,ens2,Pol,2p6
rus1_sz3,2020,1.8159824286411876,ens2,Pol,2p6
rus1_sz4,2020,1.8159824286411876,ens2,Pol,2p6
rus1_sz5,2020,0.8286856089495556,ens2,Pol,2p6
rus1_sz2,2021,1.3463094061770333,ens2,Pol,2p6
rus1_sz3,2021,1.8159824286411876,ens2,Pol,2p6
rus1_sz4,2021,1.8159824286411876,ens2,Pol,2p6
rus1_sz5,2021,0.8286856089495556,ens2,Pol,2p6
rus1_sz2,2022,1.3463094061770333,ens2,Pol,2p6
rus1_sz3,2022,1.8159824286411876,ens2,Pol,2p6
rus1_sz4,2022,1.8159824286411876,ens2,Pol,2p6
rus1_sz5,2022,0.8286856089495556,ens2,Pol,2p6
rus1_sz2,2023,1.3463094061770333,ens2,Pol,2p6
rus1_sz3,2023,1.8159824286411876,ens2,Pol,2p6
rus1_sz4,2023,1.8159824286411876,ens2,Pol,2p6
rus1_sz5,2023,0.8286856089495556,ens2,Pol,2p6
rus1_sz2,2024,1.3463094061770333,ens2,Pol,2p6
rus1_sz3,2024,1.8159824286411876,ens2,Pol,2p6
rus1_sz4,2024,1.8159824286411876,ens2,Pol,2p6
rus1_sz5,2024,0.8286856089495556,ens2,Pol,2p6
rus1_sz2,2020,1.3463204758887293,ens3,Pol,2p6
rus1_sz3,2020,1.815997360128584,ens3,Pol,2p6
rus1_sz4,2020,1.815997360128584,ens3,Pol,2p6
rus1_sz5,2020,0.8286924226216101,ens3,Pol,2p6
rus1_sz2,2021,1.3463204758887293,ens3,Pol,2p6
rus1_sz3,2021,1.815997360128584,ens3,Pol,2p6
rus1_sz4,2021,1.815997360128584,ens3,Pol,2p6
rus1_sz5,2021,0.8286924226216101,ens3,Pol,2p6
rus1_sz2,2022,1.3463204758887293,ens3,Pol,2p6
rus1_sz3,2022,1.815997360128584,ens3,Pol,2p6
rus1_sz4,2022,1.815997360128584,ens3,Pol,2p6
rus1_sz5,2022,0.8286924226216101,ens3,Pol,2p6
rus1_sz2,2023,1.3463204758887293,ens3,Pol,2p6
rus1_sz3,2023,1.815997360128584,ens3,Pol,2p6
rus1_sz4,2023,1.815997360128584,ens3,Pol,2p6
rus1_sz5,2023,0.8286924226216101,ens3,Pol,2p6
rus1_sz2,2024,1.3463204758887293,ens3,Pol,2p6
rus1_sz3,2024,1.815997360128584,ens3,Pol,2p6
rus1_sz4,2024,1.815997360128584,ens3,Pol,2p6
rus1_sz5,2024,0.8286924226216101,ens3,Pol,2p6
rus1_sz2,2020,1.3463066387491092,ens4,Pol,2p6
rus1_sz3,2020,1.8159786957693385,ens4,Pol,2p6
rus1_sz4,2020,1.8159786957693385,ens4,Pol,2p6
rus1_sz5,2020,0.8286839055315419,ens4,Pol,2p6
rus1_sz2,2021,1.3463066387491092,ens4,Pol,2p6
rus1_sz3,2021,1.8159786957693385,ens4,Pol,2p6
rus1_sz4,2021,1.8159786957693385,ens4,Pol,2p6
rus1_sz5,2021,0.8286839055315419,ens4,Pol,2p6
rus1_sz2,2022,1.3463066387491092,ens4,Pol,2p6
rus1_sz3,2022,1.8159786957693385,ens4,Pol,2p6
rus1_sz4,2022,1.8159786957693385,ens4,Pol,2p6
rus1_sz5,2022,0.8286839055315419,ens4,Pol,2p6
rus1_sz2,2023,1.3463066387491092,ens4,Pol,2p6
rus1_sz3,2023,1.8159786957693385,ens4,Pol,2p6
rus1_sz4,2023,1.8159786957693385,ens4,Pol,2p6
rus1_sz5,2023,0.8286839055315419,ens4,Pol,2p6
rus1_sz2,2024,1.3463066387491092,ens4,Pol,2p6
rus1_sz3,2024,1.8159786957693385,ens4,Pol,2p6
rus1_sz4,2024,1.8159786957693385,ens4,Pol,2p6
rus1_sz5,2024,0.8286839055315419,ens4,Pol,2p6
rus1_sz2,2020,1.346303871321185,ens5,Pol,2p6
rus1_sz3,2020,1.815974962897489,ens5,Pol,2p6
rus1_sz4,2020,1.815974962897489,ens5,Pol,2p6
rus1_sz5,2020,0.8286822021135282,ens5,Pol,2p6
rus1_sz2,2021,1.346303871321185,ens5,Pol,2p6
rus1_sz3,2021,1.815974962897489,ens5,Pol,2p6
rus1_sz4,2021,1.815974962897489,ens5,Pol,2p6
rus1_sz5,2021,0.8286822021135282,ens5,Pol,2p6
rus1_sz2,2022,1.346303871321185,ens5,Pol,2p6
rus1_sz3,2022,1.815974962897489,ens5,Pol,2p6
rus1_sz4,2022,1.815974962897489,ens5,Pol,2p6
rus1_sz5,2022,0.8286822021135282,ens5,Pol,2p6
rus1_sz2,2023,1.346303871321185,ens5,Pol,2p6
rus1_sz3,2023,1.815974962897489,ens5,Pol,2p6
rus1_sz4,2023,1.815974962897489,ens5,Pol,2p6
rus1_sz5,2023,0.8286822021135282,ens5,Pol,2p6
rus1_sz2,2024,1.346303871321185,ens5,Pol,2p6
rus1_sz3,2024,1.815974962897489,ens5,Pol,2p6
