year,ens,scen,rcp,value
2021,ens13,Pol,2p6,5.741189263515407
2021,ens13,Ref,2p6,5.741284756232494
2021,ens13,Ref,8p5,5.741294305504201
2021,ens2,Pol,2p6,5.741313404047619
2021,ens2,Ref,2p6,5.741385023585433
2021,ens2,Ref,8p5,5.741346826498599
2021,ens3,Pol,2p6,5.74138024894958
2021,ens3,Ref,2p6,5.741485290938376
2021,ens3,Ref,8p5,5.7415569104761905
2021,ens4,Pol,2p6,5.741265657689076
2021,ens4,Ref,2p6,5.741337277226891
2021,ens4,Ref,8p5,5.74123700987395
2021,ens5,Pol,2p6,5.74122746060224
2021,ens5,Ref,2p6,5.741299080140056
2021,ens5,Ref,8p5,5.741284756232494
2021,ens6,Pol,2p6,5.741342051862745
2021,ens6,Ref,2p6,5.741418446036414
2021,ens6,Ref,8p5,5.741375474313726
2021,ens7,Pol,2p6,5.741260883053221
2021,ens7,Ref,2p6,5.741337277226891
2021,ens7,Ref,8p5,5.741342051862745
2021,ens8,Pol,2p6,5.741275206960784
2021,ens8,Ref,2p6,5.741365925042016
2021,ens8,Ref,8p5,5.741318178683474
2021,ens9,Pol,2p6,5.7412895308683485
2021,ens9,Ref,2p6,5.741399347492997
2021,ens9,Ref,8p5,5.741332502591036
2022,ens1,Pol,2p6,5.737512793907563
2022,ens1,Ref,2p6,5.73757486417367
2022,ens1,Ref,8p5,5.737679906162465
2022,ens10,Pol,2p6,5.737006682507002
2022,ens10,Ref,2p6,5.737130823039216
2022,ens10,Ref,8p5,5.7371021752240905
2022,ens11,Pol,2p6,5.737035330322128
2022,ens11,Ref,2p6,5.737130823039216
2022,ens11,Ref,8p5,5.737149921582633
2022,ens12,Pol,2p6,5.737035330322128
2022,ens12,Ref,2p6,5.737130823039216
2022,ens12,Ref,8p5,5.737130823039216
2022,ens13,Pol,2p6,5.737345681652661
2022,ens13,Ref,2p6,5.737441174369748
2022,ens13,Ref,8p5,5.737460272913166
2022,ens2,Pol,2p6,5.737522343179272
2022,ens2,Ref,2p6,5.737593962717088
2022,ens2,Ref,8p5,5.737541441722689
2022,ens3,Pol,2p6,5.737560540266108
2022,ens3,Ref,2p6,5.73767513152661
2022,ens3,Ref,8p5,5.737818370602241
2022,ens4,Pol,2p6,5.737450723641457
2022,ens4,Ref,2p6,5.737522343179272
