year,scen,ens,rcp,usd_rub,ship_type,tonne_km
2016,Pol,ens7,2p6,base,1AS,7750.881278813562
2016,Pol,ens7,2p6,discounted,1A,7454.907924091237
2016,Pol,ens7,2p6,discounted,1AS,7750.881278813562
2016,Pol,ens7,2p6,high,1A,7454.907924091237
2016,Pol,ens7,2p6,high,1AS,7750.881278813562
2016,Pol,ens7,2p6,low,1A,7454.907924091237
2016,Pol,ens7,2p6,low,1AS,7750.881278813562
2016,Pol,ens8,2p6,base,1A,7365.086902431284
2016,Pol,ens8,2p6,base,1AS,7679.271296187268
2016,Pol,ens8,2p6,discounted,1A,7362.144220704451
2016,Pol,ens8,2p6,discounted,1AS,7675.479416022488
2016,Pol,ens8,2p6,high,1A,7377.584369247396
2016,Pol,ens8,2p6,high,1AS,7691.16835408757
2016,Pol,ens8,2p6,low,1A,7270.923123424712
2016,Pol,ens8,2p6,low,1AS,7588.832744260692
2016,Pol,ens9,2p6,base,1A,7353.839856826053
2016,Pol,ens9,2p6,base,1AS,7714.040679052146
2016,Pol,ens9,2p6,discounted,1A,7365.10703569105
2016,Pol,ens9,2p6,discounted,1AS,7683.548862018112
2016,Pol,ens9,2p6,high,1A,7368.166323581887
2016,Pol,ens9,2p6,high,1AS,7722.37732475406
2016,Pol,ens9,2p6,low,1A,7245.791136729569
2016,Pol,ens9,2p6,low,1AS,7650.954955906366
2016,Ref,ens1,2p6,base,1A,7451.616356733505
2016,Ref,ens1,2p6,base,1AS,7746.791060231885
2016,Ref,ens1,2p6,discounted,1A,7451.616356733505
2016,Ref,ens1,2p6,discounted,1AS,7746.791060231885
2016,Ref,ens1,2p6,high,1A,7451.616356733505
2016,Ref,ens1,2p6,high,1AS,7746.791060231885
2016,Ref,ens1,2p6,low,1A,7451.616356733505
2016,Ref,ens1,2p6,low,1AS,7746.791060231885
2016,Ref,ens1,8p5,base,1A,5921.24527093698
2016,Ref,ens1,8p5,base,1AS,6118.028998139657
2016,Ref,ens1,8p5,discounted,1A,5921.24527093698
2016,Ref,ens1,8p5,discounted,1AS,6118.028998139657
2016,Ref,ens1,8p5,high,1A,5921.24527093698
2016,Ref,ens1,8p5,high,1AS,6118.028998139657
2016,Ref,ens1,8p5,low,1A,5921.24527093698
2016,Ref,ens1,8p5,low,1AS,6118.028998139657
2016,Ref,ens10,2p6,base,1A,8895.74253170976
2016,Ref,ens10,2p6,base,1AS,10677.057290732544
2016,Ref,ens10,2p6,discounted,1A,8892.800898366735
2016,Ref,ens10,2p6,discounted,1AS,10874.037457772383
2016,Ref,ens10,2p6,high,1A,8908.235397792574
2016,Ref,ens10,2p6,high,1AS,10728.224097764949
2016,Ref,ens10,2p6,low,1A,8801.605698887359
2016,Ref,ens10,2p6,low,1AS,10291.8222312797
2016,Ref,ens10,8p5,base,1A,8879.61536366604
2016,Ref,ens10,8p5,base,1AS,10662.052879950215
2016,Ref,ens10,8p5,discounted,1A,8890.899366111571
2016,Ref,ens10,8p5,discounted,1AS,10872.729357167556
2016,Ref,ens10,8p5,high,1A,8893.96336853992
2016,Ref,ens10,8p5,high,1AS,10715.004201942025
2016,Ref,ens10,8p5,low,1A,8771.448403721717
2016,Ref,ens10,8p5,low,1AS,10263.299159447559
2016,Ref,ens11,2p6,base,1A,8896.255273637376
2016,Ref,ens11,2p6,base,1AS,9308.830492426267
2016,Ref,ens11,2p6,discounted,1A,8893.314331123125
2016,Ref,ens11,2p6,discounted,1AS,9305.042869301218
2016,Ref,ens11,2p6,high,1A,8908.745107850122
2016,Ref,ens11,2p6,high,1AS,9320.713893125892
2016,Ref,ens11,2p6,low,1A,8802.136185930798
2016,Ref,ens11,2p6,low,1AS,9218.480847088369
2016,Ref,ens11,8p5,base,1A,7452.687942805599
2016,Ref,ens11,8p5,base,1AS,9307.036574858976
2016,Ref,ens11,8p5,discounted,1A,7452.687942805599
2016,Ref,ens11,8p5,discounted,1AS,9303.243089563837
2016,Ref,ens11,8p5,high,1A,7452.687942805599
2016,Ref,ens11,8p5,high,1AS,9318.938783836722
2016,Ref,ens11,8p5,low,1A,7452.687942805599
2016,Ref,ens11,8p5,low,1AS,9216.56456593332
2016,Ref,ens12,2p6,base,1A,8881.104641454056
2016,Ref,ens12,2p6,base,1AS,9321.468308445119
2016,Ref,ens12,2p6,discounted,1A,8892.38421015349
2016,Ref,ens12,2p6,discounted,1AS,9304.206533277633
2016,Ref,ens12,2p6,high,1A,8895.44696983575
2016,Ref,ens12,2p6,high,1AS,9331.591619707295
2016,Ref,ens12,2p6,low,1A,8772.968769796673
2016,Ref,ens12,2p6,low,1AS,9244.68821273635
